iter	MultiClass
0	1.72615304
1	1.560997818
2	1.443793645
3	1.342877315
4	1.261498388
5	1.195800913
6	1.133787603
7	1.084637037
8	1.041034694
9	0.9997908183
10	0.9592216521
11	0.9283106219
12	0.9013774542
13	0.8760425631
14	0.8527035619
15	0.8329395642
16	0.8150660011
17	0.7962774999
18	0.7807925419
19	0.766799161
20	0.7529509678
21	0.738449806
22	0.7263209614
23	0.7152731558
24	0.70401794
25	0.6963933293
26	0.6870332272
27	0.6798073713
28	0.673808295
29	0.664769927
30	0.6575210436
31	0.6516252224
32	0.6446897283
33	0.6396154581
34	0.6316098706
35	0.6254299071
36	0.6203357154
37	0.6140760337
38	0.6079292285
39	0.6021279379
40	0.5982111892
41	0.5934434665
42	0.5885302225
43	0.5834595033
44	0.5786453437
45	0.5759546118
46	0.5714415636
47	0.5670559809
48	0.5625418898
49	0.5592858718
50	0.5552243909
51	0.5519472499
52	0.5483864431
53	0.5461869566
54	0.5436267738
55	0.5403273178
56	0.5367744259
57	0.5347250489
58	0.5291543476
59	0.5272256943
60	0.5254324812
61	0.5229403217
62	0.5199375984
63	0.5177986269
64	0.5155316305
65	0.5128719841
66	0.5112271185
67	0.5097556822
68	0.5080449265
69	0.5050132048
70	0.5026159336
71	0.5000114243
72	0.49859867
73	0.4971975843
74	0.4957626027
75	0.4930626939
76	0.4917019279
77	0.4895775735
78	0.4876926876
79	0.4864174984
80	0.4835308385
81	0.4826070366
82	0.480681807
83	0.4791100198
84	0.477403508
85	0.4752767744
86	0.4743862825
87	0.4731429111
88	0.4723391829
89	0.4711031012
90	0.4702053936
91	0.4684376004
92	0.4674636823
93	0.4656308978
94	0.4637011838
95	0.462494163
96	0.4602985631
97	0.4588431357
98	0.457101255
99	0.4563721567
100	0.45579749
101	0.4551250684
102	0.4541482018
103	0.4534903206
104	0.4515451338
105	0.4508068013
106	0.4494247938
107	0.4486506514
108	0.4482562922
109	0.4479202272
110	0.4470194392
111	0.4452573107
112	0.4434325121
113	0.4422101839
114	0.4416997563
115	0.4403710235
116	0.4393711766
117	0.4377612926
118	0.4372960361
119	0.437060722
120	0.4364034545
121	0.4360554832
122	0.4351904855
123	0.4332912968
124	0.4318426476
125	0.4315367317
126	0.4306616855
127	0.4302345751
128	0.4296896279
129	0.42917059
130	0.4285893631
131	0.4278917786
132	0.4277265891
133	0.4270018709
134	0.4264302819
135	0.4253463845
136	0.4246995382
137	0.424442081
138	0.4235725644
139	0.4230746289
140	0.4218554437
141	0.4216877134
142	0.4213298872
143	0.4203588143
144	0.4198330386
145	0.4192990681
146	0.4185018418
147	0.4183297919
148	0.4177379074
149	0.416612048
150	0.4158042188
151	0.4155852063
152	0.4153448125
153	0.4147603571
154	0.4142701538
155	0.4138244552
156	0.4134435953
157	0.4130437791
158	0.4125030135
159	0.4120114825
160	0.4113677487
161	0.4107916572
162	0.409859436
163	0.4082228159
164	0.4073667882
165	0.4070782636
166	0.4065076785
167	0.4061816652
168	0.4052163261
169	0.4047538188
170	0.4036249866
171	0.4032789011
172	0.4029172195
173	0.4021194003
174	0.4014598596
175	0.4012563744
176	0.4008175903
177	0.3995278869
178	0.3990100182
179	0.3987777454
180	0.3981698051
181	0.3975495267
182	0.3966601356
183	0.3960927197
184	0.3959551242
185	0.3956438867
186	0.3950046296
187	0.3943568164
188	0.3935285237
189	0.3932959553
190	0.3926188902
191	0.3919236922
192	0.3911769967
193	0.3906593559
194	0.3902434861
195	0.3899671238
196	0.3894357162
197	0.3890472443
198	0.3885683362
199	0.3883473458
200	0.3879484364
201	0.3876092838
202	0.3871246192
203	0.3863914476
204	0.3860364926
205	0.3856251414
206	0.3855100429
207	0.3850994412
208	0.38468457
209	0.3840852639
210	0.3839502587
211	0.3837652091
212	0.3833535164
213	0.3829274435
214	0.3826951177
215	0.3823642854
216	0.3818971715
217	0.3813119189
218	0.3809686985
219	0.3805273005
220	0.3802581537
221	0.3798193956
222	0.3795274684
223	0.3792912283
224	0.3789187699
225	0.3786268506
226	0.3782789237
227	0.3780990676
228	0.3776450955
229	0.3767137059
230	0.3763673831
231	0.3759153334
232	0.3757967059
233	0.3755436472
234	0.3753916281
235	0.3748293838
236	0.374565999
237	0.3742979422
238	0.3741902682
239	0.3737629067
240	0.3735541523
241	0.3732687511
242	0.3730290755
243	0.372241544
244	0.3717245297
245	0.3715201791
246	0.3712959163
247	0.3708386713
248	0.3705816124
249	0.3703559341
250	0.3700896958
251	0.3698839693
252	0.3696971853
253	0.3693905379
254	0.3692578227
255	0.3690607082
256	0.3686244349
257	0.36803949
258	0.3679610678
259	0.3677163812
260	0.367256452
261	0.3671605409
262	0.3668605749
263	0.366639947
264	0.3663220087
265	0.366129959
266	0.3659441379
267	0.3655413294
268	0.3653653543
269	0.3650807063
270	0.3646500628
271	0.3645503459
272	0.3644643085
273	0.3642419235
274	0.363872038
275	0.3636878849
276	0.3634635436
277	0.3631150275
278	0.3628887072
279	0.3625524938
280	0.3617349589
281	0.3615538151
282	0.3612656305
283	0.3611829362
284	0.360874342
285	0.3607318105
286	0.3604586106
287	0.3603421806
288	0.3600249753
289	0.3598932668
290	0.3593287355
291	0.3591396691
292	0.3589415001
293	0.3587261609
294	0.3583922004
295	0.3580044641
296	0.3577469113
