mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
64.35332441329956,0.7964581858676021,1.378018856048584,0.09558308302100828,,1,8,250,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 250}",-45.74427392627313,-45.80409063849364,-52.118006281858406,-50.21836753395294,-55.71315478650205,-49.91957863341604,3.8172842285574418,3
78.2363429069519,0.9411383672395199,1.658528470993042,0.03146825816316469,,1,8,300,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 300}",-45.573450342335256,-45.796952922645964,-52.18368457229867,-50.28671730377002,-55.746543984279185,-49.91746982506582,3.875547531489828,2
91.44145479202271,0.6971718079718261,1.8567492961883545,0.10490779181692962,,1,8,350,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 350}",-45.53150615493616,-45.88001954584223,-52.20794987025004,-50.17711607695425,-55.729040159592664,-49.905126361515066,3.8632883670287157,1
64.965691280365,0.8707980141093044,1.3161747932434082,0.07782630028982979,,2,8,250,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 250}",-45.86202885495334,-48.594031464988,-52.21620890264027,-51.1061398820291,-56.43952631602634,-50.84358708412741,3.553701827382335,5
78.85936903953552,0.6654610240314123,1.542888307571411,0.08897761428456477,,2,8,300,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 300}",-45.75035105806753,-48.580712453119986,-52.29189205529493,-51.09920679333015,-56.48356783199526,-50.84114603836157,3.606492384044378,4
90.35537023544312,1.3315937228607109,1.696138048171997,0.048362055443553535,,2,8,350,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 350}",-45.756039687713084,-48.61821493010878,-52.362820178425814,-51.05133497990904,-56.45524914841256,-50.84873178491385,3.5965891314316987,6
64.55264601707458,0.6464711027506415,1.1511624336242676,0.04562317241524019,,3,8,250,"{'max_depth': None, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 250}",-47.01887658389845,-50.38162416486443,-53.27894718926974,-51.79069024273435,-57.262483109217015,-51.94652425799679,3.370153632032047,8
75.75909509658814,0.8103691846098743,1.381567907333374,0.05702590790378805,,3,8,300,"{'max_depth': None, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 300}",-46.882811246977994,-50.35178803626619,-53.28084786888007,-51.805040095515594,-57.32073084351961,-51.92824361823189,3.431187428765151,7
85.99564242362976,0.7790884094094872,1.5253473758697509,0.0868530236441937,,3,8,350,"{'max_depth': None, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 350}",-46.84509373712937,-50.452263522721296,-53.337529047675346,-51.79161817955706,-57.34648727708966,-51.954598352834545,3.4460288267744743,9
60.81258544921875,0.7355654501812711,1.04771728515625,0.07200227930255892,,4,8,250,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 250}",-48.09766996329243,-52.250997017994784,-54.39514248798272,-53.23580827161446,-58.16011959371543,-53.227947466919964,3.2546246278692132,12
60.71284546852112,5.072301582561197,0.9039988040924072,0.03492687159167202,,4,8,300,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 300}",-48.00458785109022,-52.18701957269938,-54.398388237706655,-53.238767098354046,-58.21820970221101,-53.209394492412265,3.305693916025749,10
55.352497005462645,3.3123207039669538,0.8948870182037354,0.03427142993153673,,4,8,350,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 350}",-47.915945043236114,-52.31902749016081,-54.449830146847226,-53.17449661205838,-58.237639162436615,-53.219387690947826,3.335745916165428,11
